项目名称,项目简介,主要产品,业主方,所在地,行业,大类
榆林至神木高速公路项目（更新）,"['该项目是陕晋蒙三省区的一条重要通道，是陕西省“三纵四横五辐射”中的一纵，穿越了陕北能源化工基地榆神矿区腹地。路线全长107.665公里，其中高速公路87.835公里，一级公路19.83公里。建成后将对完善公路网，提高区域路网的服务水平，加快陕北能源化工基地建设，促进区域经济社会发展和全面建设小康社会具有重要意义。', '项目总投资37.1亿元。计划2007年开工，建设工期2年。']",路线全长107.665公里。,['榆林市交通局'],陕西省榆林市,交通运输,交通运输
渭河龙山河口段防洪暨生态治理橡胶坝（二期）工程,"['渭河龙山河口段防洪暨生态治理橡胶坝工程位于陕西省宝鸡市，建设任务是在不影响渭河防洪安全的前提下，通过疏浚整治河道和修建橡胶坝，利用部分河道蓄水形成景观水面，改善城市河道生态环境，治理河段全长1.94公里。橡胶坝设计水位577.93米，蓄水库容145万立方米。排水泵站设5台水泵，总装机容量5×55千瓦。护滩工程为梯形断面防护堤，按临时建筑物设计，防护堤全长1407米，堤顶宽度3～8米，临水坡坡比1：2.5，背水坡坡比1：3。工程总投资1.4亿元。', '该项目为二期工程，建设二级坝长420米。橡胶坝设计水位577.93米，蓄水库容145万立方米，形成回水长度1.84公里，水面面积85万平方米，为小（1）型Ⅳ等工程，防洪标准按10年一遇洪水设计，为4级建筑物，坝高3.5米，坝顶全长412.35米，分5个坝段布置，采用充水式坝袋。', '项目总投资9500万元。']",建设二级坝长420米。,['宝鸡市市区河道综合治理委员会'],陕西省宝鸡市,农林水利,其他
西安至包头铁路复线榆林段工程,"['西安至包头铁路复线全长710公里，正线全长657公里，其中西延段新建双线236公里，神延段增建二线379公里，包神段新建双线42公里，年货运量1.2亿吨，日开行客车25对。', '该项目是榆林境内段工程，路线全长346.9公里。', '工程总投资150亿元。']",路线全长346.9公里。,['榆林市发展改革委员会'],陕西省榆林市,交通运输,交通运输
25万吨硝酸铵、6万吨浓硝酸技扩改项目,"['该项目位于陕西省西安市，由陕西兴化化学有限公司投资建设，技改后年产55万吨硝酸铵、10万吨浓硝酸。', '项目总投资4.56亿元。']",年产55万吨硝酸铵、10万吨浓硝酸。,['陕西兴化化学股份有限公司'],陕西省西安市,化工医药,化工医药
神府新民矿区石窑店煤矿项目,"['该项目位于陕西省神木县店塔镇石窑店，建设规模为年产原煤300万吨。', '项目总投资5.22亿元。']",年产原煤300万吨。,['神木县店塔镇石窑店煤矿'],陕西省神木县店塔镇石窑店,能源矿产,能源矿产
卤泊滩滩区配套污水处理厂项目,"['该项目位于陕西省渭南市蒲城县，是卤泊滩综合开发工程之一，日处理污水3万吨。用于治理城区及滩区工业废水的污染，实现“雨污分家”。', '项目总投资8000万元。']",日处理污水3万吨。,['蒲城县建设局'],陕西省渭南市蒲城县,"市政公用,环保",其他
杨伙盘煤矿扩建工程,"['杨伙盘煤矿位于陕西省榆林市神府新民矿区，井田勘探面积26.9平方公里，扩建后年产原煤240万吨，其中新增210万吨。', '项目总投资4.8亿元。']",年产原煤240万吨,['杨伙盘煤矿'],陕西省榆林市神府新民矿区,能源矿产,能源矿产
宝鸡至牛背高速公路项目,"['宝鸡至牛背高速公路是国道主干线连云港至霍尔果斯的重要组成部分，工程设计全长40公里，线路起于宝鸡市渭滨区汉中路宝成铁路西侧的西（安）宝（鸡）高速公路终点，向西沿渭河河谷溯流而上直至牛背村以东，与已开工的甘肃天水段起点相接。设计时速80公里/小时，路基宽度24．5米。', '项目总投资27.7亿元。']",道路全长40公里。,['宝鸡市宝天高速公路建设管理处'],陕西省宝鸡市至甘肃省天水市牛背村,交通运输,交通运输
钛及钛合金项目,"['该项目位于陕西省宝鸡市东开发区，由风翔县钛粉厂和富士特钛业有限公司投资建设。项目建成后将具有1000吨钛铸锭、5000吨锻造、700吨机加的年生产能力，可形成从熔炼、锻造到机加的规模钛材生产线，产品包括钛锭、钛丝、钛棒、钛锻及钛设备。', '项目总投资1.3亿元。']",形成1000吨钛铸锭、5000吨锻造、700吨机加的年生产能力。,['宝鸡富士特钛业有限公司'],陕西省宝鸡市东开发区,"能源矿产,冶金",能源矿产
咸阳关中温泉度假城（一期）项目,"['咸阳关中温泉度假城项目位于陕西省咸阳市秦都区世纪大道中段，由咸阳关中温泉有限公司开发建设。总投资6亿元。总建筑面积6.99万平方米，共分两期建设。其中：一期建设温泉中心，二期建设酒店及辅助设施。', '该项目为一期工程，总建筑面积4.1万平方米。', '项目总投资3亿元。']",总建筑面积4.1万平方米。,['咸阳关中温泉有限公司'],陕西省咸阳市秦都区世纪大道中段,建筑,建筑
宝钛工业园土建及配套设施项目,"['宝钛工业园工程位于陕西省宝鸡市国家高新开发区，是宝钛集团为扩大公司规模、提升企业核心竞争力而投资兴建的现代化工业园区，产品主要包括捧丝材生产线、钛及钛合金残废料处理线等十多个项目。工程总投资17.8亿元。', '该项目为土建部分，占地面积900亩。', '项目总投资9200万元。']",园区占地面积900亩。,['宝鸡钛业股份有限公司'],陕西省宝鸡市国家高新开发区,"建筑,市政公用",建筑
陈仓物流园区项目,"['该项目位于陕西省宝鸡市陈仓区虢镇城区西部，占地1100亩，并有预留地350亩，总建筑面积43.7万平方米。共设有12个子项目，分别为：物流园区基础设施建设、纺织品交易中心、百货家电交易中心、医药交易中心、仓储中心、流通加工中心、物流配送中心、信息处理中心、会展中心、生产资料配送中心、物流大厦、物流公寓建设。园区主要功能有商务会展、商品交易、物流配送、仓储加工、信息处理、财务结算等。建成后可容纳入区服务性企业50余家，物流企业300余家，一般经营商户3000余家，年经营收入达到20亿元以上。', '项目总投资8.1亿元。']",总建筑面积43.7万平方米。,['宝鸡市陈仓现代物流园区办公室'],陕西省宝鸡市陈仓区虢镇城区西部,交通运输,交通运输
纤维高档无梭织物技改项目,"['该项目位于陕西省西安市纺织城纺西街南段168号，由陕西省唐华四棉有限责任公司投资建设，建成后形成年产布488万米生产能力。', '项目总投资2974.5万元。']",年产布488万米。,['陕西唐华四棉有限责任公司'],陕西省西安市纺织城纺西街南段168号,轻纺食品,其他
信息产业企业技术升级专项电缆组件项目,"['该项目位于陕西省西安市高新开发区电子工业园电子西街3号，厂区北临电子三路，南临电子四路，西临电子39所，东临电子西街。项目规模为年新增电缆组件1600万只，其中射频电缆组件连接器900万只，射频电缆组件400万只，微矩形电连接器140万只，印制电路及线簧连接器100万只，圆形电连接器60万只。', '项目总投资8800万元。']",年新增电缆组件1600万只。,['陕西华达科技有限公司'],陕西省西安市高新开发区电子工业园电子西街3号,机械电子,材料制造
临潼行者至北田渭河大桥建设工程,"['该项目位于行者街道办事处白庙村北，桥梁全长1.86公里，两端引线共长4.5公里，按照公路二级技术标准建设，设计速度80公里/小时，路基和桥梁宽度12米，其他技术指标按照现行公路工程技术标准执行。', '项目总投资9540万元，其中3500万元由临潼区负责筹措，其余资金申请银行贷款解决。']",桥梁全长1.86公里。,['西安市临潼区发改委'],陕西省西安市临潼区,市政公用,其他
华能延安电厂（一期）工程,"['华能延安电厂位于陕西省延安市富县吉子现乡，规划建设4台60万千瓦国产燃煤超临界空冷发电机组，总投资90亿元。建成后，将有力地改善延安市电力生产布局，加快黄陵煤田的煤电转化，延长产业链条。', '该项目为一期工程，建设两台60万千瓦国产燃煤超临界空冷发电机组，并留有扩建余地。机组年燃煤约293万吨，由陕西省黄陵县境内黄陵二号矿井供应。', '工程总投资50亿元。']",建设两台60万千瓦国产燃煤超临界空冷发电机组。,['华能国际电力股份有限公司'],陕西省延安市富县吉子现乡,电力,电力
华能延安电厂（一期）脱硫工程,"['华能延安电厂位于陕西省延安市富县吉子现乡，规划建设4台60万千瓦级国产燃煤超临界空冷发电机组，总投资90亿元，分期实施。建成后，将有力地改善延安市电力生产布局，加快黄陵煤田的煤电转化，延长产业链条。', '该项目为一期脱硫工程，对2台60万千瓦级国产燃煤超临界空冷发电机组进行烟气脱硫处理。', '工程总投资2亿元。']",对2台60万千瓦级国产燃煤超临界空冷发电机组进行烟气脱硫处理。,['华能国际电力股份有限公司'],陕西省延安市富县吉子现乡,"电力,环保",电力
钛带生产线项目,[0],新增钛及钛合金板带材产量5000吨。,[0],陕西省宝鸡市宝钛工业园内,"能源矿产,冶金",能源矿产
韩家湾煤矿产业升级改造项目,"['该项目位于陕西省榆林市，由陕北矿业有限责任公司投资建设，矿井改造后生产能力达到年产150万吨，服务年限为40年。升级改造主要内容为：在原矿井工业场地内将原副斜井改造为主斜井，采用带式输送机提升，原副斜井提升改为无轨胶轮车运输；将原主斜井和回风斜井改为并联回风井，采用中央并列抽出式通风；新装备一个综合机械化长壁采煤工作面替代原房柱式开采。矿井采区资源回收率提高80%以上。', '项目总投资2.166亿元，其中项目资本金7581万元，占项目总投资的35%，其余1.4079亿元由银行贷款解决。']",年产原煤150万吨。,['陕北矿业有限责任公司'],陕西省榆林市,能源矿产,能源矿产
天然气应急调峰站项目,"['该项目位于陕西省西安市，由西安秦华天然气公司投资，建设一座液化天然气应急调峰站，储备能力为180万立方米。', '项目总投资9000万元。']",储备能力180万立方米。,['西安秦华天然气公司'],陕西省西安市,能源矿产,能源矿产
